,x,y,z,rep
0,-1.0,0.0,-3.05,1
1,-0.975,0.0,-2.86222828125,1
2,-0.95,0.0,-2.6842012499999996,1
3,-0.9249999999999999,0.0,-2.51560109375,1
4,-0.8999999999999999,0.0,-2.3561099999999993,1
5,-0.8749999999999999,0.0,-2.2054101562499997,1
6,-0.8499999999999999,0.0,-2.063183749999999,1
7,-0.8249999999999998,0.0,-1.9291129687499993,1
8,-0.7999999999999998,0.0,-1.8028799999999994,1
9,-0.7749999999999998,0.0,-1.6841670312499988,1
10,-0.7499999999999998,0.0,-1.5726562499999988,1
11,-0.7249999999999998,0.0,-1.4680298437499988,1
12,-0.6999999999999997,0.0,-1.3699699999999988,1
13,-0.6749999999999997,0.0,-1.278158906249999,1
14,-0.6499999999999997,0.0,-1.192278749999999,1
15,-0.6249999999999997,0.0,-1.112011718749999,1
16,-0.5999999999999996,0.0,-1.0370399999999989,1
17,-0.5749999999999996,0.0,-0.9670457812499991,1
18,-0.5499999999999996,0.0,-0.901711249999999,1
19,-0.5249999999999996,0.0,-0.840718593749999,1
20,-0.49999999999999956,0.0,-0.7837499999999991,1
21,-0.47499999999999953,0.0,-0.730487656249999,1
22,-0.4499999999999995,0.0,-0.680613749999999,1
23,-0.4249999999999995,0.0,-0.633810468749999,1
24,-0.39999999999999947,0.0,-0.5897599999999991,1
25,-0.37499999999999944,0.0,-0.5481445312499991,1
26,-0.3499999999999994,0.0,-0.5086462499999991,1
27,-0.3249999999999994,0.0,-0.4709473437499991,1
28,-0.2999999999999994,0.0,-0.4347299999999991,1
29,-0.27499999999999936,0.0,-0.3996764062499991,1
30,-0.24999999999999933,0.0,-0.3654687499999991,1
31,-0.2249999999999993,0.0,-0.3317892187499991,1
32,-0.1999999999999993,0.0,-0.2983199999999991,1
33,-0.17499999999999927,0.0,-0.264743281249999,1
34,-0.14999999999999925,0.0,-0.23074124999999898,1
35,-0.12499999999999922,0.0,-0.1959960937499989,1
36,-0.0999999999999992,0.0,-0.16018999999999883,1
37,-0.07499999999999918,0.0,-0.12300515624999875,1
38,-0.049999999999999156,0.0,-0.08412374999999865,1
39,-0.024999999999999134,0.0,-0.04322796874999854,1
40,8.881784197001252e-16,0.0,1.5809575870662245e-15,1
41,0.0250000000000008,0.0,0.04587796875000151,1
42,0.05000000000000093,0.0,0.09472375000000188,1
43,0.07500000000000107,0.0,0.14685515625000228,1
44,0.10000000000000098,0.0,0.20259000000000227,1
45,0.1250000000000009,0.0,0.2622460937500022,1
46,0.15000000000000102,0.0,0.3261412500000027,1
47,0.17500000000000115,0.0,0.39459328125000326,1
48,0.20000000000000107,0.0,0.4679200000000033,1
49,0.22500000000000098,0.0,0.5464392187500031,1
50,0.2500000000000011,0.0,0.6304687500000039,1
51,0.27500000000000124,0.0,0.7203264062500045,1
52,0.30000000000000115,0.0,0.8163300000000046,1
53,0.32500000000000107,0.0,0.9187973437500045,1
54,0.3500000000000012,0.0,1.0280462500000054,1
55,0.37500000000000133,0.0,1.1443945312500063,1
56,0.40000000000000124,0.0,1.2681600000000064,1
57,0.42500000000000115,0.0,1.3996604687500063,1
58,0.4500000000000013,0.0,1.5392137500000076,1
59,0.4750000000000014,0.0,1.6871376562500087,1
60,0.5000000000000013,0.0,1.8437500000000084,1
61,0.5250000000000012,0.0,2.0093685937500085,1
62,0.5500000000000014,0.0,2.1843112500000097,1
63,0.5750000000000015,0.0,2.3688957812500115,1
64,0.6000000000000014,0.0,2.5634400000000115,1
65,0.6250000000000013,0.0,2.7682617187500114,1
66,0.6500000000000015,0.0,2.983678750000013,1
67,0.6750000000000016,0.0,3.210008906250015,1
68,0.7000000000000015,0.0,3.4475700000000145,1
69,0.7250000000000014,0.0,3.6966798437500143,1
70,0.7500000000000016,0.0,3.9576562500000163,1
71,0.7750000000000017,0.0,4.230817031250019,1
72,0.8000000000000016,0.0,4.516480000000019,1
73,0.8250000000000015,0.0,4.814962968750018,1
74,0.8500000000000016,0.0,5.126583750000021,1
75,0.8750000000000018,0.0,5.451660156250024,1
76,0.9000000000000017,0.0,5.790510000000023,1
77,0.9250000000000016,0.0,6.1434510937500235,1
